protocol,dataset,system,EER,minDCF,full_absolute_EER_reduction,full_relative_EER_reduction_percent
no_mean_subtraction,only_ca10,Full ACRS,2.982,0.255,0.0,0.0
no_mean_subtraction,only_ca15,Full ACRS,4.789,0.331,0.0,0.0
no_mean_subtraction,only_ca20,Full ACRS,7.071,0.41,0.0,0.0
no_mean_subtraction,vox_ca5,Full ACRS,3.359,0.286,0.0,0.0
no_mean_subtraction,vox_ca10,Full ACRS,4.676,0.349,0.0,0.0
no_mean_subtraction,vox_ca15,Full ACRS,7.211,0.47,0.0,0.0
no_mean_subtraction,vox_ca20,Full ACRS,9.604,0.601,0.0,0.0
no_mean_subtraction,vox1_O_cleaned,no_age_loss,0.808,0.091,-0.005999999999999894,-0.7425742574257295
no_mean_subtraction,vox1_E_cleaned,no_age_loss,1.029,0.115,0.020000000000000018,1.943634596695823
no_mean_subtraction,vox1_H_cleaned,no_age_loss,1.954,0.196,0.1479999999999999,7.574206755373588
no_mean_subtraction,only_ca5,no_age_loss,1.893,0.168,0.02400000000000002,1.2678288431061817
no_mean_subtraction,only_ca10,no_age_loss,3.284,0.261,0.3019999999999996,9.196102314250902
no_mean_subtraction,only_ca15,no_age_loss,5.554,0.363,0.7650000000000006,13.773856679870374
no_mean_subtraction,only_ca20,no_age_loss,7.974,0.466,0.9030000000000005,11.324303987960878
no_mean_subtraction,vox_ca5,no_age_loss,3.506,0.288,0.1469999999999998,4.192812321734165
no_mean_subtraction,vox_ca10,no_age_loss,4.945,0.35,0.26900000000000013,5.439838220424674
no_mean_subtraction,vox_ca15,no_age_loss,7.867,0.473,0.6559999999999997,8.338629719079696
no_mean_subtraction,vox_ca20,no_age_loss,10.79,0.641,1.186,10.991658943466172
no_mean_subtraction,vox1_O_cleaned,no_age_conditioning,0.984,0.096,0.17000000000000004,17.276422764227647
no_mean_subtraction,vox1_E_cleaned,no_age_conditioning,1.111,0.12,0.10200000000000009,9.18091809180919
no_mean_subtraction,vox1_H_cleaned,no_age_conditioning,2.009,0.196,0.20299999999999985,10.104529616724731
no_mean_subtraction,only_ca5,no_age_conditioning,2.012,0.177,0.14300000000000002,7.107355864811134
no_mean_subtraction,only_ca10,no_age_conditioning,3.354,0.27,0.3719999999999999,11.091234347048298
no_mean_subtraction,only_ca15,no_age_conditioning,5.37,0.354,0.5810000000000004,10.819366852886413
no_mean_subtraction,only_ca20,no_age_conditioning,7.382,0.46,0.31099999999999994,4.212950419940395
no_mean_subtraction,vox_ca5,no_age_conditioning,3.576,0.292,0.21700000000000008,6.068232662192396
no_mean_subtraction,vox_ca10,no_age_conditioning,5.048,0.363,0.3719999999999999,7.369255150554673
no_mean_subtraction,vox_ca15,no_age_conditioning,8.039,0.472,0.8279999999999994,10.299788530911798
no_mean_subtraction,vox_ca20,no_age_conditioning,10.366,0.632,0.7620000000000005,7.350955045340541
no_mean_subtraction,vox1_O_cleaned,random_gate_init,1.143,0.136,0.32900000000000007,28.783902012248472
no_mean_subtraction,vox1_E_cleaned,random_gate_init,1.259,0.144,0.25,19.857029388403497
no_mean_subtraction,vox1_H_cleaned,random_gate_init,2.291,0.231,0.4849999999999999,21.16979484941073
no_mean_subtraction,only_ca5,random_gate_init,2.175,0.203,0.3059999999999998,14.068965517241374
no_mean_subtraction,only_ca10,random_gate_init,3.618,0.289,0.6359999999999997,17.57877280265339
no_mean_subtraction,only_ca15,random_gate_init,6.177,0.385,1.388,22.470454913388377
no_mean_subtraction,only_ca20,random_gate_init,8.987,0.465,1.9160000000000004,21.319683987982643
no_mean_subtraction,vox_ca5,random_gate_init,3.92,0.336,0.5609999999999999,14.311224489795917
no_mean_subtraction,vox_ca10,random_gate_init,5.48,0.411,0.8040000000000003,14.671532846715333
no_mean_subtraction,vox_ca15,random_gate_init,8.654,0.529,1.4429999999999996,16.674370233418067
no_mean_subtraction,vox_ca20,random_gate_init,11.489,0.687,1.8850000000000016,16.40699799808514
